iter	Passed	Remaining
0	135	135220
1	136	67885
2	136	45371
3	136	34102
4	137	27327
5	137	22835
6	138	19610
7	138	17190
8	139	15306
9	139	13794
10	139	12575
11	140	11553
12	141	10726
13	141	9987
14	142	9344
15	142	8781
16	143	8291
17	143	7851
18	144	7458
19	145	7106
20	145	6784
21	146	6495
22	146	6222
23	147	5979
24	147	5752
25	148	5547
26	148	5353
27	149	5175
28	149	5009
29	150	4852
30	150	4707
31	151	4567
32	151	4437
33	152	4318
34	152	4206
35	153	4099
36	153	3997
37	154	3901
38	154	3807
39	154	3718
40	155	3634
41	155	3556
42	156	3481
43	156	3409
44	157	3341
45	157	3276
46	158	3213
47	159	3156
48	159	3100
49	160	3047
50	160	2993
51	161	2942
52	161	2892
53	162	2845
54	163	2801
55	163	2756
56	164	2714
57	164	2673
58	165	2632
59	165	2592
60	165	2554
61	166	2517
62	166	2481
63	167	2445
64	167	2411
65	168	2379
66	168	2348
67	169	2319
68	169	2291
69	170	2262
70	170	2235
71	171	2208
72	171	2183
73	172	2158
74	172	2133
75	173	2109
76	173	2085
77	174	2062
78	175	2040
79	175	2018
80	176	1997
81	176	1976
82	176	1953
83	177	1934
84	177	1915
85	178	1896
86	179	1879
87	179	1861
88	180	1843
89	180	1826
90	181	1809
91	181	1792
92	182	1776
93	182	1761
94	183	1746
95	183	1731
96	184	1717
97	184	1702
98	185	1688
99	186	1675
100	186	1661
101	187	1647
102	187	1635
103	188	1621
104	188	1608
105	189	1596
106	189	1583
107	190	1571
108	190	1559
109	191	1548
110	191	1536
111	192	1525
112	192	1513
113	193	1502
114	193	1491
115	194	1480
116	194	1469
117	195	1458
118	195	1449
119	196	1440
120	196	1430
121	197	1420
122	197	1411
123	198	1402
124	198	1392
125	199	1383
126	199	1373
127	200	1365
128	201	1357
129	201	1348
130	201	1339
131	202	1331
132	202	1322
133	203	1314
134	203	1306
135	204	1298
136	204	1290
137	205	1282
138	205	1274
139	206	1266
140	206	1259
141	206	1250
142	207	1243
143	207	1236
144	208	1229
145	208	1222
146	209	1215
147	209	1207
148	210	1201
149	210	1194
150	211	1187
151	211	1181
152	212	1174
153	212	1168
154	213	1162
155	213	1156
156	214	1150
157	214	1144
158	215	1138
159	215	1132
160	215	1125
161	216	1119
162	216	1113
163	217	1108
164	217	1102
165	218	1097
166	218	1091
167	219	1086
168	219	1081
169	220	1076
170	221	1071
171	221	1067
172	222	1062
173	222	1057
174	223	1053
175	224	1050
176	225	1047
177	225	1043
178	226	1039
179	227	1035
180	228	1032
181	228	1028
182	229	1023
183	229	1019
184	230	1015
185	230	1010
186	231	1006
187	232	1002
188	233	999
189	233	995
190	234	992
191	234	988
192	235	985
193	236	981
194	236	978
195	237	974
196	238	970
197	238	966
198	239	962
199	239	958
200	240	954
201	240	950
202	241	947
203	241	943
204	242	940
205	242	936
206	243	933
207	244	930
208	244	926
209	245	922
210	245	919
211	246	915
212	246	912
213	247	908
214	247	905
215	248	901
216	248	898
217	249	895
218	250	891
219	250	889
220	251	887
221	252	884
222	253	881
223	253	878
224	254	875
225	254	872
226	255	869
227	255	866
228	256	863
229	257	860
230	257	858
231	258	855
232	259	852
233	259	849
234	260	846
235	260	843
236	261	840
237	261	837
238	261	834
239	262	831
240	263	828
241	263	825
242	264	823
243	264	820
244	265	817
245	265	813
246	266	811
247	266	807
248	266	804
249	267	801
